iter	Passed	Remaining
653	7041	3725
654	7051	3714
655	7063	3704
656	7075	3693
657	7086	3683
658	7096	3672
659	7106	3660
660	7117	3650
661	7127	3638
662	7136	3627
663	7144	3615
664	7153	3603
665	7162	3591
666	7170	3579
667	7179	3568
668	7187	3556
669	7195	3544
670	7204	3532
671	7217	3523
672	7233	3514
673	7251	3507
674	7272	3501
675	7282	3490
676	7291	3478
677	7300	3467
678	7309	3455
679	7318	3443
680	7326	3432
681	7335	3420
682	7344	3408
683	7352	3396
684	7361	3385
685	7370	3373
686	7378	3361
687	7387	3350
688	7395	3338
689	7405	3327
690	7414	3315
691	7422	3303
692	7431	3292
693	7440	3280
694	7449	3269
695	7458	3257
696	7467	3246
697	7476	3234
698	7486	3223
699	7494	3212
700	7504	3200
701	7513	3189
702	7521	3177
703	7530	3166
704	7538	3154
705	7547	3142
706	7556	3131
707	7564	3119
708	7573	3108
709	7581	3096
710	7590	3085
711	7599	3073
712	7608	3062
713	7617	3051
714	7626	3039
715	7634	3028
716	7643	3016
717	7652	3005
718	7661	2994
719	7669	2982
720	7678	2971
721	7687	2959
722	7696	2948
723	7704	2937
724	7713	2925
725	7722	2914
726	7731	2903
727	7740	2892
728	7749	2880
729	7757	2869
730	7766	2857
731	7775	2846
732	7783	2835
733	7792	2823
734	7801	2812
735	7809	2801
736	7818	2790
737	7827	2778
738	7835	2767
739	7844	2756
740	7853	2745
741	7862	2733
742	7871	2722
743	7880	2711
744	7888	2700
745	7897	2688
746	7906	2677
747	7915	2666
748	7923	2655
749	7931	2643
750	7940	2632
751	7949	2621
752	7957	2610
753	7967	2599
754	7976	2588
755	7985	2577
756	7994	2566
757	8002	2554
758	8011	2543
759	8021	2533
760	8032	2522
761	8046	2513
762	8058	2502
763	8068	2492
764	8078	2481
765	8094	2472
766	8118	2466
767	8132	2456
768	8144	2446
769	8155	2436
770	8164	2425
771	8173	2414
772	8183	2403
773	8192	2392
774	8201	2381
775	8210	2370
776	8220	2359
777	8229	2348
778	8238	2337
779	8246	2325
780	8255	2314
781	8264	2303
782	8273	2293
783	8283	2282
784	8292	2271
785	8303	2260
786	8314	2250
787	8322	2239
788	8332	2228
789	8342	2217
790	8353	2207
791	8364	2196
792	8372	2185
793	8381	2174
794	8390	2163
795	8399	2152
796	8407	2141
797	8416	2130
798	8425	2119
799	8433	2108
800	8442	2097
801	8451	2086
802	8460	2075
803	8469	2064
804	8478	2053
805	8489	2043
806	8503	2033
807	8516	2023
808	8527	2013
809	8537	2002
810	8548	1992
811	8558	1981
812	8568	1970
813	8578	1960
814	8588	1949
815	8603	1940
816	8614	1929
817	8624	1918
818	8635	1908
819	8646	1898
820	8657	1887
821	8668	1877
822	8678	1866
823	8692	1856
824	8723	1850
825	8735	1840
826	8745	1829
827	8757	1819
828	8768	1808
829	8780	1798
830	8790	1787
831	8802	1777
832	8814	1767
833	8824	1756
834	8835	1745
835	8846	1735
836	8858	1725
837	8869	1714
838	8884	1704
839	8896	1694
840	8908	1684
841	8919	1673
842	8931	1663
843	8941	1652
844	8953	1642
845	8964	1631
846	8976	1621
847	8986	1610
848	8999	1600
849	9010	1590
850	9021	1579
851	9035	1569
852	9047	1559
853	9057	1548
854	9069	1538
855	9080	1527
856	9092	1517
857	9105	1506
858	9124	1497
859	9138	1487
860	9153	1477
861	9165	1467
862	9177	1456
863	9192	1446
864	9204	1436
865	9217	1426
866	9229	1415
867	9241	1405
868	9253	1394
869	9265	1384
870	9275	1373
871	9287	1363
872	9299	1352
873	9313	1342
874	9325	1332
875	9336	1321
876	9346	1310
877	9357	1300
878	9368	1289
879	9380	1279
880	9391	1268
881	9401	1257
882	9413	1247
883	9423	1236
884	9434	1225
885	9443	1215
886	9455	1204
887	9465	1193
888	9474	1182
889	9484	1172
890	9493	1161
891	9501	1150
892	9510	1139
893	9519	1128
894	9528	1117
895	9537	1107
896	9545	1096
897	9554	1085
898	9563	1074
899	9572	1063
900	9581	1052
901	9590	1041
902	9599	1031
903	9607	1020
904	9616	1009
905	9625	998
906	9634	987
907	9643	977
908	9651	966
909	9660	955
910	9669	944
911	9678	933
912	9689	923
913	9698	912
914	9707	901
915	9718	891
916	9727	880
917	9737	869
918	9747	859
919	9756	848
920	9767	837
921	9775	827
922	9784	816
923	9793	805
924	9802	794
925	9811	784
926	9819	773
927	9829	762
928	9837	751
929	9846	741
930	9855	730
931	9864	719
932	9873	709
933	9881	698
934	9890	687
935	9899	676
936	9907	666
937	9916	655
938	9925	644
939	9934	634
940	9943	623
941	9952	612
942	9960	602
943	9969	591
944	9977	580
945	9986	570
946	9995	559
947	10004	548
948	10013	538
949	10026	527
950	10036	517
951	10047	506
952	10056	495
953	10064	485
954	10073	474
955	10081	464
956	10089	453
957	10098	442
958	10107	432
959	10115	421
960	10124	410
961	10133	400
962	10141	389
963	10150	379
964	10158	368
965	10166	357
966	10175	347
967	10184	336
968	10192	326
969	10202	315
970	10212	304
971	10221	294
972	10230	283
973	10239	273
974	10247	262
975	10256	252
976	10265	241
977	10274	231
978	10282	220
979	10291	210
980	10300	199
981	10308	188
982	10317	178
983	10326	167
984	10334	157
985	10343	146
986	10352	136
987	10360	125
988	10369	115
989	10378	104
990	10387	94
991	10395	83
992	10404	73
993	10412	62
994	10421	52
995	10430	41
996	10438	31
997	10447	20
998	10456	10
999	10465	0
